V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,1
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,1
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,1
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,1
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,1
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,1
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,1
I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,1
M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,1
I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,1
I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,1
I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,1
M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,1
M,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,1
M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,1
F,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,1
I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,1
I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,1
I,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,1
I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,1
M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,1
I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,1
I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,1
I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,1
I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,1
I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,1
F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,1
M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,1
M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,1
F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,1
M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,1
I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,1
I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,1
I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,1
I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,1
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,1
I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,1
F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,1
M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,1
I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,1
I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,1
I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,1
I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,1
I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,1
F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,1
I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,1
I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,1
I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,1
I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,1
I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,1
M,0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,1
M,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,1
I,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,1
I,0.37,0.27,0.095,0.2175,0.097,0.046,0.065,1
I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,1
I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,1
I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,1
M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,1
I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,1
I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,1
I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,1
M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,1
I,0.35,0.265,0.08,0.2,0.09,0.042,0.06,1
I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,1
I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,1
I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,1
I,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,1
I,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,1
I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,1
