V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,1
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,1
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,1
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,1
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,1
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,1
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,1
I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,1
M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,1
I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,1
F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,1
I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,1
F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,1
M,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,1
M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,1
I,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,1
M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,1
I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,1
I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,1
I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,1
M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,1
I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,1
I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,1
I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,1
I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,1
I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,1
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,1
M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,1
M,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,1
M,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,1
F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,1
I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,1
I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,1
I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,1
I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,1
I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,1
I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,1
M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,1
M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,1
M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,1
I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,1
I,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,1
I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,1
I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,1
I,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,1
I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,1
I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,1
I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,1
I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,1
I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,1
I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,1
M,0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,1
I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,1
I,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,1
I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,1
I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,1
I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,1
I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,1
I,0.55,0.425,0.15,0.7665,0.339,0.176,0.21,1
F,0.6,0.46,0.155,0.9735,0.427,0.2045,0.3,1
M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,1
M,0.525,0.38,0.125,0.65,0.303,0.155,0.159,1
I,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,1
I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,1
I,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,1
I,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,1
I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,1
I,0.335,0.25,0.08,0.1695,0.0695,0.044,0.0495,1
I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,1
I,0.32,0.255,0.085,0.1745,0.072,0.033,0.057,1
F,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,1
M,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,1
M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,1
F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,1
M,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,1
I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,1
F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,1
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,1
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,1
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,1
I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,1
M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,1
I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,1
I,0.205,0.15,0.065,0.04,0.02,0.011,0.013,1
