V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,1
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,1
M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,1
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,1
I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,1
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,1
I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,1
I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,1
I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,1
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,1
I,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,1
M,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,1
M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,1
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,1
M,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,1
I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,1
F,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,1
I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,1
I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,1
I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,1
I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,1
I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,1
I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,1
I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,1
I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,1
I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,1
F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,1
M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,1
M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,1
F,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,1
I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,1
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,1
I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,1
I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,1
M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,1
I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,1
M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,1
M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,1
M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,1
I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,1
I,0.35,0.27,0.075,0.215,0.1,0.036,0.065,1
I,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,1
I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,1
I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,1
I,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,1
I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,1
F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,1
I,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,1
M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,1
M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,1
F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,1
M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,1
I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,1
I,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,1
