V1,V2,V3,V4,V5,V6,V7,V8,Class
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,1
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,1
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,1
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,1
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,1
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,1
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,1
I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,1
I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,1
I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,1
I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,1
M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,1
M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,1
F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,1
M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,1
I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,1
I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,1
I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,1
I,0.395,0.29,0.095,0.319,0.138,0.08,0.082,1
M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,1
I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,1
I,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,1
I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,1
I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,1
I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,1
I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,1
M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,1
I,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,1
F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,1
M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,1
I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,1
I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,1
I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,1
I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,1
