V1,V2,V3,V4,V5,V6,V7,V8,Class
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,1
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,1
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,1
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,1
F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,1
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,1
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,1
I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,1
I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,1
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,1
F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,1
I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,1
M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,1
M,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,1
M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,1
I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,1
I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,1
M,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,1
I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,1
M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,1
F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,1
I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,1
I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,1
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,1
I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,1
I,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,1
M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,1
M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,1
M,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,1
M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,1
M,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,1
I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,1
I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,1
I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,1
I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,1
I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,1
F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,1
M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,1
M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,1
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,1
I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,1
I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,1
I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,1
I,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,1
I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,1
I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,1
I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,1
I,0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,1
I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,1
I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,1
M,0.52,0.4,0.125,0.559,0.254,0.139,0.149,1
M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,1
I,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,1
I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,1
I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,1
I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,1
I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,1
I,0.525,0.4,0.14,0.654,0.305,0.16,0.169,1
F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,1
F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,1
I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,1
I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,1
I,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,1
I,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,1
I,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,1
M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,1
I,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,1
I,0.36,0.27,0.085,0.2185,0.1065,0.038,0.062,1
M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,1
I,0.395,0.295,0.1,0.293,0.14,0.062,0.082,1
M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,1
M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,1
I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,1
M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,1
M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,1
I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,1
I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,1
I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,1
I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,1
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,1
I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,1
I,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,1
F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,1
