V1,V2,V3,V4,V5,V6,V7,V8,Class
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,1
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,1
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,1
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,1
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,1
I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,1
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,1
M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,1
I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,1
F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,1
I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,1
I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,1
M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,1
M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,1
M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,1
I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,1
I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,1
I,0.28,0.205,0.07,0.1015,0.041,0.03,0.03,1
I,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,1
I,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,1
F,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,1
I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,1
I,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,1
I,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,1
I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,1
I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,1
M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,1
M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,1
F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,1
M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,1
F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,1
I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,1
I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,1
M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,1
I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,1
I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,1
I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,1
F,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,1
M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,1
I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,1
I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,1
I,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,1
I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,1
I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,1
F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,1
I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,1
F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,1
I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,1
I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,1
F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,1
M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,1
I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,1
I,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,1
I,0.38,0.29,0.1,0.237,0.108,0.0395,0.082,1
I,0.425,0.325,0.11,0.317,0.135,0.048,0.09,1
I,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,1
I,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,1
I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,1
M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,1
F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,1
I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,1
I,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,1
I,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,1
I,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,1
I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,1
M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,1
I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,1
